mcccode,Тип торговой точки,mccgrp,Название торговой точки (латиница),Название торговой точки (кириллица),Адрес,№ кассы,Страна,Город,Дата внесения в базу,Примечание
3067, Vanguard Airlines,Transportation,,,,,,,10/8/2012,
3068, AIR ASTANA,Transportation,,,,,,,10/8/2012,
3071, Air British Columbia,Transportation,,,,,,,10/8/2012,
3072,,Transportation,,,,,,,10/8/2012,
3072, CEBU PAC,Transportation,,,,,,,10/8/2012,
3075, Singapore Airlines,Transportation,,,,,,,10/8/2012,
3076, Aeromexico,Transportation,,,,,,,10/8/2012,
3077, Thai Airways,Transportation,,,,,,,10/8/2012,
3078, China Airlines,Transportation,,,,,,,10/8/2012,
3079, Jetstar Airways,Transportation,,,,,,,10/8/2012,
3081,(Obsolete)  Nordair,Transportation,,,,,,,10/8/2012,
3082, Korean Airlines,Transportation,,,,,,,10/8/2012,
3083, Airafrique,Transportation,,,,,,,10/8/2012,
3084, Eva Air,Transportation,,,,,,,10/8/2012,
3085, Midwest Express Airlines,Transportation,,,,,,,10/8/2012,
3086, Carnivalair,Transportation,,,,,,,10/8/2012,
3087, Metro Airlines,Transportation,,,,,,,10/8/2012,
3088, Croatia Air,Transportation,,,,,,,10/8/2012,
3089, Transaero,Transportation,TRANSAERO  ,ТРАНСАЭРО,"47-1,B.POLYANKA",, RUS,MOSCOW,10/8/2012,
3090, Qatar Airways Company W.L.L,Transportation,,,,,,,10/8/2012,
3092, Midway Airlines,Transportation,,,,,,,10/8/2012,
3094, Zambia Airways,Transportation,,,,,,,10/8/2012,
3095, Wardair (canada),Transportation,,,,,,,10/8/2012,
3096, Air Zimbabwe,Transportation,,,,,,,10/8/2012,
3097, Spanair,Transportation,,,,,,,10/8/2012,
3098, Asiana Airlines,Transportation,,,,,,,10/8/2012,
3099, Cathay Pacific,Transportation,,,,,,,10/8/2012,
3100, Malaysian Air Sys.,Transportation,,,,,,,10/8/2012,
3102, Iberia,Transportation,,,,,,,10/8/2012,
3103, Garuda (Indonesia),Transportation,,,,,,,10/8/2012,
3106, Braathens S.A.F.E(Nor),Transportation,,,,,,,10/8/2012,
3110, Wings Airways,Transportation,,,,,,,10/8/2012,
3111, British Midland,Transportation,,,,,,,10/8/2012,
3112, Windward Island,Transportation,,,,,,,10/8/2012,
3115, Tower Air,Transportation,,,,,,,10/8/2012,
3117, Viasa,Transportation,,,,,,,10/8/2012,
3118, Valley Airlines,Transportation,,,,,,,10/8/2012,
3125, Tan Sahsa,Transportation,,,,,,,10/8/2012,
3126, Talair,Transportation,,,,,,,10/8/2012,
3127, Taca Int,Transportation,,,,,,,10/8/2012,
3129, Surinam Airways,Transportation,,,,,,,10/8/2012,
3130, Sun World Int,Transportation,,,,,,,10/8/2012,
3131,,Transportation,,,,,,,10/8/2012,
3132, Frontier Airlines,Transportation,,,,,,,10/8/2012,
3133, Sunbelt Airlines,Transportation,,,,,,,10/8/2012,
3135, Sudan Airways,Transportation,,,,,,,10/8/2012,
3136, Qatar Airways Company W.L.L,Transportation,,,,,,,10/8/2012,
3137, Singleton,Transportation,,,,,,,10/8/2012,
3138, Simmons Airlines,Transportation,,,,,,,10/8/2012,
3143, Scenic Airlines,Transportation,,,,,,,10/8/2012,
3144, Virgin Atlantic   Viratl,Transportation,,,,,,,10/8/2012,
3145, San Juan,Transportation,,,,,,,10/8/2012,
3146, Luxair,Transportation,,,,,,,10/8/2012,
3148," Air Littoral, S.A.(LITTORAL",Transportation,,,,,,,10/8/2012,
3151, Air Zaire  Airzaire,Transportation,,,,,,,10/8/2012,
3154, Princeville,Transportation,,,,,,,10/8/2012,
3156, GO FLY Ltd.,Transportation,,,,,,,10/8/2012,
3159, PBA,Transportation,,,,,,,10/8/2012,
3161, All Nippon Airways   Anaair,Transportation,,,,,,,10/8/2012,
3164, Norontair,Transportation,,,,,,,10/8/2012,
3165, New York Helicopter,Transportation,,,,,,,10/8/2012,
3167, Aero Continente,Transportation,,,,,,,10/8/2012,
3170, Mount Cook,Transportation,,,,,,,10/8/2012,
3171, Canadian Airlines Canadian,Transportation,,,,,,,10/8/2012,
3172, Nation Air   Nationai,Transportation,,,,,,,10/8/2012,
3174, JetBlue Airways,Transportation,,,,,,,10/8/2012,
3175, Middle East Air,Transportation,,,,,,,10/8/2012,
3176, Metroflight Airlines,Transportation,,,,,,,10/8/2012,
3177, AirTran Airways (AIRTRANAIR,Transportation,,,,,,,10/8/2012,
3178, Mesa Air,Transportation,,,,,,,10/8/2012,
3180, Westjet Airlines,Transportation,,,,,,,10/8/2012,
3181, Malev,Transportation,,,,,,,10/8/2012,
3182, LOT (Poland),Transportation,,,,,,,10/8/2012,
3183, Oman Aviation Services,Transportation,,,,,,,10/8/2012,
3184, LIAT,Transportation,,,,,,,10/8/2012,
3185, LAV (Venezuela),Transportation,,,,,,,10/8/2012,
3186, LAP (Paraguay),Transportation,,,,,,,10/8/2012,
3187, LACSA,Transportation,,,,,,,10/8/2012,
3188, Virgin Express,Transportation,,,,,,,10/8/2012,
3190, Jugoslav Air,Transportation,,,,,,,10/8/2012,
3191, Island Airlines,Transportation,,,,,,,10/8/2012,
3192,(Obsolete)  Iran National,Transportation,,,,,,,10/8/2012,
3193, Indian Airlines,Transportation,,,,,,,10/8/2012,
3196, Hawaiian Air,Transportation,,,,,,,10/8/2012,
3197, Havasu Airlines,Transportation,,,,,,,10/8/2012,
3200, Guyana Airways,Transportation,,,,,,,10/8/2012,
3203, Golden Pacific Air,Transportation,,,,,,,10/8/2012,
3204, Freedom Airlines,Transportation,,,,,,,10/8/2012,
3206, China Eastern Airlines,Transportation,,,,,,,10/8/2012,
3211, Norwegian Air Shuttle,Transportation,,,,,,,10/8/2012,
3212, Dominicana,Transportation,,,,,,,10/8/2012,
3213, Malmo Aviation-MALMO AV,Transportation,,,,,,,10/8/2012,
3215, Dan Air Services,Transportation,,,,,,,10/8/2012,
3216, Cumberland Airlines,Transportation,,,,,,,10/8/2012,
3217, CSA,Transportation,,,,,,,10/8/2012,
3218, Crown Air,Transportation,,,,,,,10/8/2012,
3219, Copa,Transportation,,,,,,,10/8/2012,
3220, Compania Faucett,Transportation,,,,,,,10/8/2012,
3221, Transportes Aereos Militare,Transportation,,,,,,,10/8/2012,
3222, Command Airways,Transportation,,,,,,,10/8/2012,
3223, Comair,Transportation,,,,,,,10/8/2012,
3226, Skyways-SKYWAYS,Transportation,,,,,,,10/8/2012,
3228, Cayman Airways,Transportation,,,,,,,10/8/2012,
3229, Saeta,Transportation,,,,,,,10/8/2012,
3231, Sahsa,Transportation,,,,,,,10/8/2012,
3233, Capitol Air,Transportation,,,,,,,10/8/2012,
3234, CARIBBEAN AIRLINES,Transportation,,,,,,,10/8/2012,
3235, Brockway Air,Transportation,,,,,,,10/8/2012,
3236, Air Arabia Airline,Transportation,,,,,,,10/8/2012,
3238, Bemidji Aviation,Transportation,,,,,,,10/8/2012,
3239, Bar Harbor Airlines,Transportation,,,,,,,10/8/2012,
3240, Bahamasair,Transportation,,,,,,,10/8/2012,
3241, Aviateca (Guatemala),Transportation,,,,,,,10/8/2012,
3242, Avensa,Transportation,,,,,,,10/8/2012,
3243, Austrian Air Service,Transportation,,,,,,,10/8/2012,
3245, EasyJet - EASYJET,Transportation,,,,,,,10/8/2012,
3246, Ryanair - RYANAIR,Transportation,,,,,,,10/8/2012,
3247, Gol Airlines - GOL,Transportation,,,,,,,10/8/2012,
3248, Tam Airlines - TAM,Transportation,,,,,,,10/8/2012,
3251, Aloha Airlines,Transportation,,,,,,,10/8/2012,
3252, ALM Antilean Airlines,Transportation,,,,,,,10/8/2012,
3253, America West,Transportation,,,,,,,10/8/2012,
3254, Trump Airline  Trumpair,Transportation,,,,,,,10/8/2012,
3256, Alaska Airlines,Transportation,,,,,,,10/8/2012,
3259, American Trans Air,Transportation,,,,,,,10/8/2012,
3260, Spirit Airlines - SPIRIT,Transportation,,,,,,,10/8/2012,
3261, Air China,Transportation,,,,,,,10/8/2012,
3262," Reno Air, Inc.",Transportation,,,,,,,10/8/2012,
3263, Aero Servicio Carabobo,Transportation,,,,,,,10/8/2012,
3266, Air Seychelles,Transportation,,,,,,,10/8/2012,
3267, Air Panama,Transportation,,,,,,,10/8/2012,
3280, Air Jamaica,Transportation,,,,,,,10/8/2012,
3282, Air Djibouti,Transportation,,,,,,,10/8/2012,
3284, Aero Virgin Islands,Transportation,,,,,,,10/8/2012,
3285, AeroPeru,Transportation,,,,,,,10/8/2012,
3286, Aero Nicaraguensis,Transportation,,,,,,,10/8/2012,
3287, Aero Coach Aviation,Transportation,,,,,,,10/8/2012,
3292, Cyprus Airways,Transportation,,,,,,,10/8/2012,
3293, Equatoriana,Transportation,,,,,,,10/8/2012,
3294, Ethiopian Airlines,Transportation,,,,,,,10/8/2012,
3295, Kenya Airways,Transportation,,,,,,,10/8/2012,
3296, AIR BERLIN,Transportation,,,,,,,10/8/2012,
3297, Tarom Romanian Air Transpor,Transportation,,,,,,,10/8/2012,
3298, Air Mauritus   Airmauri,Transportation,,,,,,,10/8/2012,
3299, Wideroe's Flyveselskap,Transportation,,,,,,,10/8/2012,
3351, Affiliated Auto Rental,Vehicle Rental,,,,,,,10/8/2012,
3352, American International,Vehicle Rental,,,,,,,10/8/2012,
3353, Brooks Rent A Car,Vehicle Rental,,,,,,,10/8/2012,
3354, Action Auto Rental,Vehicle Rental,,,,,,,10/8/2012,
3355, SIXT Car Rental,Vehicle Rental,,,,,,,10/8/2012,
3357, Hertz Corporation,Vehicle Rental,CORPORATIVO HERTZ AV AVIACIO MERIDA,,,,MEX,YUC ,10/8/2012,
3359, Payless Car Rental,Vehicle Rental,,,,,,,10/8/2012,
3360, Snappy Car Rental,Vehicle Rental,,,,,,,10/8/2012,
3361, Airways Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3362, Altra Auto Rental,Vehicle Rental,,,,,,,10/8/2012,
3364, Agency Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3366, Budget Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3368, Holiday Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3370, Rent A Wreck,Vehicle Rental,,,,,,,10/8/2012,
3374, Accent Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3376, Ajax Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3380, Triangle Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3381, Europ Car,Vehicle Rental,,,,,,,10/8/2012,
3385, Tropical Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3386, Showcase Rental Cars,Vehicle Rental,,,,,,,10/8/2012,
3387, Alama Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3388, Merchants Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3389, Avis Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3390, Dollar Rent A Car,Vehicle Rental,,,,,,,10/8/2012,
3391, Europe By Car,Vehicle Rental,,,,,,,10/8/2012,
3393, National Car Rental,Vehicle Rental,,,,,,,10/8/2012,
3394, Kemwell Group Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3395, Thrifty Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3396, Tilden Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3398, Econo Car Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3400, Auto Host Car Rental,Vehicle Rental,,,,,,,10/8/2012,
3405, Enterprise Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3409, General Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3412, A1 Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3414, Godfrey National Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3420, ANSA International,Vehicle Rental,,,,,,,10/8/2012,
3421, Allstat Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3423, Avcar Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3425, Automate Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3427, Avon Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3428, Carey Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3429, Insurance Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3430, Major Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3431, Replacement Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3432, Reserve Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3433, Ugly Duckling Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3434, USA Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3435, Value Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3436, Autohansa Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3437, Cite Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3438, Interent Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3439, Milleville Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3441, Advantage Rent-A-Car,Vehicle Rental,,,,,,,10/8/2012,
3501, Holiday Inns,Hotel/Motel,,,,,,,10/8/2012,
3502, Best Western Int'l,Hotel/Motel,,,,,,,10/8/2012,
3503, Sheraton,Hotel/Motel,,,,,,,10/8/2012,
3504, Hilton Hotels,Hotel/Motel,,,,,,,10/8/2012,
3505, Forte Hotels,Hotel/Motel,,,,,,,10/8/2012,
3506, Golden Tulip,Hotel/Motel,,,,,,,10/8/2012,
3507, Friendship Inns Int,Hotel/Motel,,,,,,,10/8/2012,
3508, Quality Int,Hotel/Motel,,,,,,,10/8/2012,
3509, Marriott,Hotel/Motel,,,,,,,10/8/2012,
3510, Days Inns Of America,Hotel/Motel,,,,,,,10/8/2012,
3511, Arabella Hotels,Hotel/Motel,,,,,,,10/8/2012,
3512, Intercontinental,Hotel/Motel,,,,,,,10/8/2012,
3513, Westin,Hotel/Motel,,,,,,,10/8/2012,
3514, Amerisuites,Hotel/Motel,,,,,,,10/8/2012,
3515, Rodeway Inns Int,Hotel/Motel,,,,,,,10/8/2012,
3516, La Quinta Motor Inns,Hotel/Motel,,,,,,,10/8/2012,
3517, Americana Htls Corp.,Hotel/Motel,,,,,,,10/8/2012,
3518, Sol Hotels,Hotel/Motel,,,,,,,10/8/2012,
3519, PLM/ETAP Int'l,Hotel/Motel,,,,,,,10/8/2012,
3520, Meridien,Hotel/Motel,,,,,,,10/8/2012,
3521, Royal Lahaina Resort,Hotel/Motel,,,,,,,10/8/2012,
3522, Tokyo Group,Hotel/Motel,,,,,,,10/8/2012,
3523, Pennisilvania Hotels,Hotel/Motel,,,,,,,10/8/2012,
3524, Welcom Group Hotels,Hotel/Motel,,,,,,,10/8/2012,
3525, Dunfey Hotels,Hotel/Motel,,,,,,,10/8/2012,
3526, Prince Hotels,Hotel/Motel,,,,,,,10/8/2012,
3527, Downtowner-Passport,Hotel/Motel,,,,,,,10/8/2012,
3528, Red Lion Inns,Hotel/Motel,,,,,,,10/8/2012,
3529, CP(Canadian Pacific),Hotel/Motel,,,,,,,10/8/2012,
3530, Stouffer Corporation,Hotel/Motel,,,,,,,10/8/2012,
3531, Kauai Coconut Beach Resort,Hotel/Motel,,,,,,,10/8/2012,
3532, Royal Kona Resort,Hotel/Motel,,,,,,,10/8/2012,
3533, Hotel Ibis,Hotel/Motel,,,,,,,10/8/2012,
3534, Southern Pacific,Hotel/Motel,,,,,,,10/8/2012,
3535, Hilton Int'l,Hotel/Motel,,,,,,,10/8/2012,
3536, AMFAC Hotels,Hotel/Motel,,,,,,,10/8/2012,
3537, Ana Hotels,Hotel/Motel,,,,,,,10/8/2012,
3538, Concorde Hotels,Hotel/Motel,,,,,,,10/8/2012,
3539, Summerfield Suites Hotel,Hotel/Motel,,,,,,,10/8/2012,
3540, Iberotel,Hotel/Motel,,,,,,,10/8/2012,
3541, Hotel Okura,Hotel/Motel,,,,,,,10/8/2012,
3542, Royal Hotels,Hotel/Motel,,,,,,,10/8/2012,
3543, Four Seasons,Hotel/Motel,,,,,,,10/8/2012,
3544, Ciga Hotels,Hotel/Motel,,,,,,,10/8/2012,
3545, Shangri-la International,Hotel/Motel,,,,,,,10/8/2012,
3546, Sierra Suites Hotel,Hotel/Motel,,,,,,,10/8/2012,
3547,,Hotel/Motel,,,,,,,10/8/2012,
3548, Hoteles Melia,Hotel/Motel,,,,,,,10/8/2012,
3549, Auberge Des Gouverneusses,Hotel/Motel,,,,,,,10/8/2012,
3550, Regal 8 Inns,Hotel/Motel,,,,,,,10/8/2012,
3551, Mirage Hotel And Casino,Hotel/Motel,,,,,,,10/8/2012,
3552, Coast Hotel,Hotel/Motel,,,,,,,10/8/2012,
3553, Park Inns International,Hotel/Motel,,,,,,,10/8/2012,
3554, Pinehurst Resort,Hotel/Motel,,,,,,,10/8/2012,
3555, Treasure Island Hotel Casin,Hotel/Motel,,,,,,,10/8/2012,
3556, Barton Creek Resort,Hotel/Motel,,,,,,,10/8/2012,
3557, Manhatten East Suite Hotels,Hotel/Motel,,,,,,,10/8/2012,
3558, Jolly Hotels,Hotel/Motel,,,,,,,10/8/2012,
3559,,Hotel/Motel,,,,,,,10/8/2012,
3560, Aladdin Resort And Casino,Hotel/Motel,,,,,,,10/8/2012,
3561, Golden Nugget,Hotel/Motel,,,,,,,10/8/2012,
3562, Comfort Hotels Int'l,Hotel/Motel,,,,,,,10/8/2012,
3563, Jouney's End Hotels,Hotel/Motel,,,,,,,10/8/2012,
3564, Sam's Town Hotel And Casino,Hotel/Motel,,,,,,,10/8/2012,
3565, Relax Inns,Hotel/Motel,,,,,,,10/8/2012,
3566, Garden Place Hotel,Hotel/Motel,,,,,,,10/8/2012,
3567, Soho Grand Hotel,Hotel/Motel,,,,,,,10/8/2012,
3568, Ladbroke Hotels,Hotel/Motel,,,,,,,10/8/2012,
3569, Tribeca Grand Hotel,Hotel/Motel,,,,,,,10/8/2012,
3570, Forum Hotels,Hotel/Motel,,,,,,,10/8/2012,
3571, Grand Wailea Resort,Hotel/Motel,,,,,,,10/8/2012,
3572, Miyako Hotel/Kintetsu,Hotel/Motel,,,,,,,10/8/2012,
3573, Sandman Hotels,Hotel/Motel,,,,,,,10/8/2012,
3574, Venture Inn,Hotel/Motel,,,,,,,10/8/2012,
3575, Vagabond Hotels,Hotel/Motel,,,,,,,10/8/2012,
3576, La Quinta Resort,Hotel/Motel,,,,,,,10/8/2012,
3577, Mandarin Int,Hotel/Motel,,,,,,,10/8/2012,
3578, Frankenmuth Bavarian,Hotel/Motel,,,,,,,10/8/2012,
3579, Hotel Mercure,Hotel/Motel,,,,,,,10/8/2012,
3580, Hotel Del Coronado,Hotel/Motel,,,,,,,10/8/2012,
3581, Delta Hotels,Hotel/Motel,,,,,,,10/8/2012,
3582, California Hotel And Casino,Hotel/Motel,,,,,,,10/8/2012,
3583, SAS Hotels,Hotel/Motel,,,,,,,10/8/2012,
3584, Princess Hotels Int'l,Hotel/Motel,,,,,,,10/8/2012,
3585, Hungar Hotels,Hotel/Motel,,,,,,,10/8/2012,
3586, Sokos Hotels,Hotel/Motel,,,,,,,10/8/2012,
3587, Doral Hotels,Hotel/Motel,,,,,,,10/8/2012,
3588, Helmsley Hotels,Hotel/Motel,,,,,,,10/8/2012,
3589, Doral Golf Resort,Hotel/Motel,,,,,,,10/8/2012,
3590, Fairmont Hotels Corp.,Hotel/Motel,,,,,,,10/8/2012,
3591, Sonesta Int'l Hotels,Hotel/Motel,,,,,,,10/8/2012,
3592, Omni International,Hotel/Motel,,,,,,,10/8/2012,
3593, Cunard Hotels,Hotel/Motel,,,,,,,10/8/2012,
3594, Arizona Biltmore,Hotel/Motel,,,,,,,10/8/2012,
3595, Hospitality Inns,Hotel/Motel,,,,,,,10/8/2012,
3596, Wynn Las Vegas,Hotel/Motel,,,,,,,10/8/2012,
3597, Riversite Resort And Casion,Hotel/Motel,,,,,,,10/8/2012,
3598, Regent Hotels,Hotel/Motel,,,,,,,10/8/2012,
3599, Pannoria Hotel,Hotel/Motel,,,,,,,10/8/2012,
3600, Saddlebrook Resort - Tampa,Hotel/Motel,,,,,,,10/8/2012,
3601, TradeWinds Resorts,Hotel/Motel,,,,,,,10/8/2012,
3602,,Hotel/Motel,,,,,,,10/8/2012,
3603, Noah's Hotel (Melbn),Hotel/Motel,,,,,,,10/8/2012,
3604,,Hotel/Motel,,,,,,,10/8/2012,
3605,,Hotel/Motel,,,,,,,10/8/2012,
3606,,Hotel/Motel,,,,,,,10/8/2012,
3607,,Hotel/Motel,,,,,,,10/8/2012,
3608, GAYLORD OPRYLAND,Hotel/Motel,,,,,,,10/8/2012,
3609, GAYLORD PALMS,Hotel/Motel,,,,,,,10/8/2012,
3610,,Hotel/Motel,,,,,,,10/8/2012,
3611,,Hotel/Motel,,,,,,,10/8/2012,
3612, Movenpick Hotels,Hotel/Motel,,,,,,,10/8/2012,
3613, MICROTEL INNS & SUITES,Hotel/Motel,,,,,,,10/8/2012,
3614,,Hotel/Motel,,,,,,,10/8/2012,
3614, AMERICINN,Hotel/Motel,,,,,,,10/8/2012,
3615, Travelodge Motels,Hotel/Motel,,,,,,,10/8/2012,
3616,,Hotel/Motel,,,,,,,10/8/2012,
3617,,Hotel/Motel,,,,,,,10/8/2012,
3617, AMERICAS BEST VALUE INN,Hotel/Motel,,,,,,,10/8/2012,
3618,,Hotel/Motel,,,,,,,10/8/2012,
3618, GREAT WOLF,Hotel/Motel,,,,,,,10/8/2012,
3619,,Hotel/Motel,,,,,,,10/8/2012,
3619, ALOFT,Hotel/Motel,,,,,,,10/8/2012,
3620, Binion's Horseshoe Club,Hotel/Motel,,,,,,,10/8/2012,
3621, EXTENDED STAY,Hotel/Motel,,,,,,,10/8/2012,
3622, Merlin Hotel (Perth),Hotel/Motel,,,,,,,10/8/2012,
3623, Dorint Hotels,Hotel/Motel,,,,,,,10/8/2012,
3624, Lady Luck Hotel And Casino,Hotel/Motel,,,,,,,10/8/2012,
3625, Hotel Universal,Hotel/Motel,,,,,,,10/8/2012,
3626, STUDIO PLUS,Hotel/Motel,,,,,,,10/8/2012,
